TARGET,ENGLISH,KOREAN,JAPANESE,CHINESE
Mato_EquipIcon_Text,EQP,무기,,
All_ConsumableTitle_Text,CONSUMABLE,소비,,
Mato_StatusTitle_Text,STATUS,능력치,,
Mato_EquipTitle_Text,EQUIP,무기,,
Mato_NextLevel_Text,NEXT,다음,,
Super_Equip,Equip,장착하기,,
Super_Details,Details,세부사항,,
Normal_Equip1,Equip Skill1,첫 번째 무기 장착,,
Normal_Equip2,Equip Skill2,두 번째 무기 장착,,
Normal_Details,Details,세부사항,,
Load_Prompt,Proceed Load?,불러오시겠습니까?,,
Load_Prompt_Yes,Yes,예,,
Load_Prompt_No,No,아니요,,
Notfiy_Save,Save complete.,저장 완료했습니다.,,
Shop_Clear_Text,Press to clear cart >,장바구니 비우기 >,,
InventoryGuide,Navigate menu with movement keys.<br>Press above key to interact menu.,이동키로 메뉴를 둘러볼 수 있습니다.<br>위의 키로 메뉴와 상호작용이 가능합니다.,,
Donut,Donut,도넛,,
Donut_Description,This donut seems very suspicious...,수상해보이는 도넛이다...,,
Soda,Soda,소다,,
Soda_Description,The fizz stings your brain to the fullest.,뇌를 찌르는 듯한 탄산으로 충만한 음료.,,
Melon Bread,Melon Bread,메론빵,,
Melon Bread_Description,A turtle shaped melon bread.,거북이 모양의 메론빵이네요.,,
Onigiri,Onigiri,삼각김밥,,
Onigiri_Description,It's filled with tuna and mayo.,참치마요 맛의 삼각김밥.,,
Icecream,Icecream,Icecream,,
Icecream_Description,2 scoops of sweet icecream!,2 스쿱의 달콤한 아이스크림!,,
Milk Bottle,Milk Bottle,우유병,,
Milk Bottle_Description,A holy drink gifted from the cat gang.,고양이 두목으로부터 선물받은 신성한 음료.,,
Chocolate Coin,Chocolate Coin,초콜릿 코인,,
Chocolate Coin_Description,A coin that melts once taken out of your pocket.,주머니에서 한번 꺼내면 녹는 동전이다.,,
RustyKey,Rusty Key,녹슨 열쇠,,
RustyKey_Description,A rusty house key.,어디에 쓰이는지 모르는 녹슨 열쇠이다.,,
Knuckle Sandwich,Knuckle Sandwich,너클 샌드위치,,
SuperChili,SuperChili,슈퍼칠리,,
